"Protein","estimate","std_error","statistic","pvalue","Padj","mean_diabetes_nonDN","mean_diabetes_DN"
"EFEMP1",0.131164632914947,0.0302789987862522,4.33186823120784,1.62929492190274e-05,0.000595099970224977,0.00445623393316196,0.140794651162791
"F9",0.069945346689235,0.0161168511156474,4.33988911278872,1.57201995969223e-05,0.000595099970224977,0.0776422879177378,0.14723976744186
"GPR37",0.253010766467543,0.0583975437282781,4.33255836315299,1.62783999550516e-05,0.000595099970224977,0.132954533508541,0.361043333333333
"IGFBP7",0.119718092880278,0.0276051624310704,4.33680088567535,1.59139729424067e-05,0.000595099970224977,0.119204665825977,0.223519907407407
"GAST",0.532422239583643,0.12290839888509,4.33186213809048,1.65949071417375e-05,0.00059864590948342,0.403786789554532,0.963192896174863
"GFRA1",0.115032505231364,0.0266271659480796,4.32011823773006,1.71566164320079e-05,0.000611361380662525,0.116714002557545,0.236642889908257
"FABP5",0.249931764041734,0.0578942510799471,4.31703941893296,1.73931085025563e-05,0.000612321241499634,0.147586751592357,0.404815348837209
"OXT",0.543191399163884,0.126294517171775,4.30098955463824,1.86754373655171e-05,0.000649638428357632,0.881082124681934,1.37526162790698
"TNFRSF12A",0.1406472235973,0.0327511344390449,4.2944229568312,1.922996751184e-05,0.00066105841258349,0.118310636942675,0.251940887850467
"HAVCR1",0.250941138425752,0.0585945221514821,4.28267232518774,2.02512562837089e-05,0.000678344921040729,0.302142656449553,0.537522018348624
"IFI30",0.151445848953765,0.0353407776939913,4.28530040467996,2.04292789362027e-05,0.000678344921040729,0.142846875,0.286701675977654
"SERPINF1",0.109820432393838,0.0256127456621617,4.28772587845113,2.02014233662783e-05,0.000678344921040729,0.153405850234009,0.25791456043956
"RNASE6",0.106009060118864,0.0247811295509808,4.27781388660182,2.10900464906277e-05,0.000692417031973193,0.0931164098613251,0.196168258426966
"EPHA1",0.134402529672492,0.0315065275737732,4.26586298213238,2.18181456597828e-05,0.000708362462420947,0.0730174107142857,0.186844575471698
"CRLF1",0.100215059687474,0.0235353691490884,4.25806194296958,2.25771431989588e-05,0.000717069700297365,0.0576341401273885,0.150848113207547
"CSF1",0.107006165695914,0.025121169384335,4.25960129716893,2.24250053936191e-05,0.000717069700297365,0.0710710828025478,0.182125943396226
"CD74",0.130221347666475,0.0306613546009592,4.24708397137812,2.36825644444943e-05,0.000744090895772176,0.12142665394402,0.248230930232558
"LILRB4",0.171526991590568,0.0405989712104184,4.22490980625025,2.61492846464775e-05,0.000812853295074546,0.0974956436931079,0.258455048076923
"PALM2",0.155566111544631,0.0369721153200371,4.20766056250837,2.86147049314975e-05,0.000870960081352456,0.231581029185868,0.389582240437158
"TNFRSF14",0.118595573361967,0.0282024816264689,4.20514672902618,2.84523495721627e-05,0.000870960081352456,0.0873758290816326,0.202982227488152
"CLEC14A",0.116422471109282,0.0277586489449635,4.19409717454586,2.98572817456486e-05,0.000899412136709125,0.00781501925545571,0.116593896713615
"BST2",0.20999834730851,0.0501197250691807,4.18993414306737,3.03773209583241e-05,0.000905740120818603,0.212523282442748,0.42316
"BSG",0.0749646388132849,0.0179953305932455,4.16578280820374,3.37064333712795e-05,0.000994850487988675,0.0248418781725888,0.0925801843317972
"CES1",0.373984552962312,0.09000174439564,4.15530338299119,3.5281692254843e-05,0.00103093104768651,0.685842984693877,1.04835654205607
"RNASE1",0.095402171672392,0.0231033400678599,4.12936706953079,4.00560592658755e-05,0.00115884955618701,0.0854441896024465,0.1796975
"DLL1",0.11366877080707,0.0275816899299009,4.12116774193168,4.08334423331707e-05,0.00116975802448554,0.0492050955414013,0.159018224299065
"ZPR1",0.335847706211908,0.081679656138865,4.11176689628721,4.32491158776182e-05,0.00122693122907185,0.125761292834891,0.464599147727273
"CST3",0.112301346522288,0.027373284800669,4.10258934359032,4.42205419278055e-05,0.00124242714916392,0.0773285714285714,0.180846279069767
"CALCA",0.231076489272216,0.0563655689464101,4.09960359828734,4.48281738635677e-05,0.00124750403837471,0.378971725032425,0.539403110047847
"CCDC80",0.12799721524372,0.0312511243581788,4.09576352443209,4.55107023894957e-05,0.00125454973945384,0.0808383974358974,0.19970511627907
"CD72",0.160055974732601,0.0391650462932938,4.08670459710418,4.81111032612172e-05,0.00128973067641538,0.108484015748032,0.270395251396648
"PALM",0.113616412152773,0.0278008190567321,4.08680089320101,4.80096904587874e-05,0.00128973067641538,0.0384069659442724,0.158456284153005
"PIK3IP1",0.105861688673632,0.0259226996434069,4.08374475382069,4.79007917605631e-05,0.00128973067641538,0.0500905006418485,0.153998591549296
"COLEC12",0.105696746284176,0.0259354528691414,4.0753769296983,4.96227727635029e-05,0.00129626102097285,0.0685948914431673,0.177253333333333
"DSC2",0.129806644165599,0.0318845478706727,4.07114583189668,5.05728119065385e-05,0.00129626102097285,0.0547885416666667,0.18678317535545
"FCRL1",0.157642276467662,0.0386957068440097,4.07389577099988,4.99266416538323e-05,0.00129626102097285,0.0430058333333333,0.210237906976744
"LRP11",0.132701209512055,0.0325864939205379,4.0722763803816,5.02693463826556e-05,0.00129626102097285,0.0822349358974359,0.215114418604651
"PLTP",-0.143560954243222,0.0352324305078028,-4.07468210890043,4.97269664082444e-05,0.00129626102097285,-0.162000697084918,-0.294894186046512
"IFNLR1",0.121316927145382,0.029837638152212,4.0659024861989,5.16677725062312e-05,0.00130149337295869,0.105765231362468,0.221251666666667
"IL10",0.260067522105092,0.0639558887531039,4.06635772210219,5.1613008265074e-05,0.00130149337295869,0.041778933680104,0.308154807692308
"ITGA5",0.0959892833801497,0.023673529942602,4.05470935736589,5.41456337090788e-05,0.00135225249314468,0.126489858793325,0.224407276995305
"IL2RA",0.147607739352925,0.0364845587137975,4.04575920763716,5.622990893126e-05,0.00139240503302662,0.0820014138817481,0.223441981132075
"IGSF9",0.367978645411208,0.0909906336038996,4.04413763083673,5.74090051267584e-05,0.00140323342862562,0.799568711656442,1.14794285714286
"THY1",0.110924842623577,0.0274585918748871,4.03971343938527,5.7627656206391e-05,0.00140323342862562,0.0530781806615776,0.170715581395349
"APBB1IP",0.16038632252411,0.0397478276331388,4.03509655934986,5.88461817867971e-05,0.00142106234033902,0.155142558746736,0.313655140186916
"CDH2",0.128868503535781,0.0320254123577418,4.02394517504561,6.15879606673701e-05,0.00147508213991849,0.260644807692308,0.373937906976744
"PILRA",0.155292680149935,0.0386510062130441,4.01781726700626,6.31985855009574e-05,0.0015013517628764,0.0615440308087291,0.213129107981221
"TGFA",0.164093022913235,0.0409077916507262,4.01129017949132,6.4961801513171e-05,0.0015245749818984,0.162469730077121,0.337888333333333
"ULBP2",0.13611983268706,0.0339417729787274,4.01039252641197,6.5219668972382e-05,0.0015245749818984,0.0442110322580645,0.182932142857143
"PTGDS",0.115442063316922,0.0288436141213617,4.00234390985784,6.74619166649489e-05,0.00156447397218239,0.0707243489583333,0.168023474178404
"DPY30",0.213210094273526,0.0533178666609429,3.99884893424871,6.83652178354698e-05,0.00156648222743569,0.224199871794872,0.43846628440367
"HSPB6",0.137340254653352,0.034369193972246,3.99602780223062,6.91568129155387e-05,0.00156648222743569,0.187969220945083,0.296806422018349
"YAP1",0.101147486745556,0.0252822895503227,4.00072495587192,6.8788098545753e-05,0.00156648222743569,0.0898493087557604,0.190948087431694
"POLR2F",0.131684179057183,0.0329833191197094,3.99244777577568,7.02986759910953e-05,0.00158009793266139,0.108811031331593,0.235992289719626
"RBP5",0.235810782721534,0.0591683700364382,3.98541961822359,7.23777762719278e-05,0.00161441116234025,0.453952872062663,0.674168691588785
"CD4",0.104498293830597,0.0262876726045797,3.97518241353905,7.54674490033325e-05,0.00163345100731657,0.067149293059126,0.174265
"IL18BP",0.111526723560871,0.0280487132658935,3.97617967368521,7.51250013031851e-05,0.00163345100731657,0.0683518613607189,0.170978372093023
"MSR1",0.178447746481446,0.0448414650318994,3.97952534232549,7.40558515758467e-05,0.00163345100731657,0.19593893129771,0.369645581395349
"PRAP1",0.14675234443624,0.0368870412996971,3.9784254650276,7.54041900536226e-05,0.00163345100731657,0.279722526636225,0.416469613259669
"NFASC",0.107853732633018,0.0272162393181948,3.96284480644301,7.93190341695454e-05,0.00170419277826038,0.246492576142132,0.33971866359447
"AGRN",0.131102454975411,0.0332005149330736,3.94880787962747,8.40853679571308e-05,0.00179341200854552,0.135612038216561,0.260748820754717
"LILRA5",0.112520482835718,0.0286751210958669,3.92397585556966,9.31110726349454e-05,0.00197152575535732,0.100353846153846,0.214319069767442
"ADAM8",0.0996333160151652,0.0254397421066743,3.91644363364147,9.59832740775211e-05,0.00201772033708285,0.0324745547073791,0.134142325581395
"GRN",0.0863394768620968,0.0220669405673516,3.91261654956543,9.75844343481503e-05,0.00203672655118068,0.0538224871134021,0.143194312796209
